name;country;city;company;system;ebikes;latitude;longitude
Docomo Bike Share Ibaraki;Japan;茨城県 (Ibaraki);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;36,3732;140,2549
Docomo Bike Share Ishikawa;Japan;石川県 (Ishikawa);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;36,5594;136,658
Docomo Bike Share Kagoshima;Japan;鹿児島県 (Kagoshima);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;31,588;130,5547
Docomo Bike Share Kanagawa;Japan;神奈川県 (Kanagawa);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;35,4504;139,625
Docomo Bike Share Kyoto;Japan;京都府 (Kyoto);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;35,0001;135,7587
Docomo Bike Share Miyagi;Japan;茨城県 (Miyagi);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;38,2607;140,8814
Docomo Bike Share Nara;Japan;奈良県 (Nara);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;34,6839;135,8087
Docomo Bike Share Niigata;Japan;新潟県 (Niigata);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;37,9186;139,0488
Docomo Bike Share Ōita;Japan;大分県 (Ōita);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;33,2393;131,6124
Docomo Bike Share Okayama;Japan;岡山県 (Okayama);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;34,603;133,765
Docomo Bike Share Okinawa;Japan;沖縄県 (Okinawa);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;26,2097;127,6841
Docomo Bike Share Osaka;Japan;大阪府 (Osaka);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;34,693;135,5028
Docomo Bike Share Shiga;Japan;滋賀県 (Shiga);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;35,0378;135,9801
Docomo Bike Share Tokyo;Japan;Tokyo;DOCOMO BIKE SHARE, INC.;No especificado;No especificado;35,6827;139,766
Docomo Bike Share Yamanashi;Japan;山梨県 (Yamanashi);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;35,6848;138,733
Donkey Republic - Gent;Belgium;Gent;Donkey Republic;No especificado;No especificado;51,05;3,7303
Dott Aachen;Germany;Aachen;Dott;No especificado;No especificado;50,776346;6,083856
Dott Ibiza;Spain;Ibiza;Dott;No especificado;No especificado;38,91;1,4334
Dott;Spain;Murcia;Dott;No especificado;No especificado;37,9872;-1,1287
Dott Tarragona;Spain;Tarragona;Dott;No especificado;No especificado;41,1178;1,2553
Dott Tübingen;Germany;Tübingen;Dott;No especificado;No especificado;48,521;9,0534
Dubai Careem BIKE;United Arab Emirates;Dubai;Careem;No especificado;No especificado;25,1713;55,2324
dublinbikes;Ireland;Dublin;JCDecaux;Cyclocity;No especificado;53,3498053;-6,2603097
e-Cargobike Sharing;Sweden;Göteborg;Nextbike GmbH;Nextbike;No especificado;57,7005;11,9504
e.motion;Italy;Rovereto;Comunicare S.r.l.;Bicincittà;No especificado;45,88710661061543;11,042242751867644
e.motion;Italy;Trento;Comunicare S.r.l.;Bicincittà;No especificado;46,06643205823519;11,122145390351879
EasyBike;Greece;Didymoteicho;Brainbox Technology;EasyBike;No especificado;41,3502539849;26,4972960949
EasyBike;Greece;Glyfada;Brainbox Technology;EasyBike;No especificado;37,8715809825;23,7355544376
EasyBike;Greece;Igoumenitsa;Brainbox Technology;EasyBike;No especificado;39,5005770633;20,2635206985
EasyBike;Greece;Ioannina;Brainbox Technology;EasyBike;No especificado;39,6639818;20,8522784
EasyBike;Greece;Karditsa;Brainbox Technology;EasyBike;No especificado;39,3634604;21,9211192
EasyBike;Greece;Kinouria;Brainbox Technology;EasyBike;No especificado;37,1476704305;22,8933729935
EasyBike;Greece;Komotini;Brainbox Technology;EasyBike;No especificado;41,117833;25,4041307
EasyBike;Greece;Mani;Brainbox Technology;EasyBike;No especificado;41,4097472;26,4024952
EasyBike;Greece;Patra;Brainbox Technology;EasyBike;No especificado;38,2410966371;21,7259683418
EasyBike;Greece;Rethymno;Brainbox Technology;EasyBike;No especificado;35,3667571777;24,4832845736
EasyBike;Greece;Samos;Brainbox Technology;EasyBike;No especificado;37,754065919;26,9787850189
EcoBici;Mexico;Cd de México;5M2 S.A. DE C.V.;No especificado;No especificado;19,4326077;-99,133208
Ecobici;Argentina;Buenos Aires;Tembici;No especificado;No especificado;-34,630665;-58,41156
EDEKA Grünheide;Germany;Grünheide (Mark);Nextbike GmbH;Nextbike;No especificado;52,4247;13,8203
Eifel e-Bike;Germany;Eifel e-Bike;Nextbike GmbH;Nextbike;No especificado;50,5771;6,64673
El Paso BCycle;United States;El Paso, TX;BCycle, LLC;BCycle;No especificado;31,76148;-106,48507
eMobi (Croatia);Croatia;Osijek;Nextbike GmbH;Nextbike;No especificado;45,554;18,6943
EnCicla;Colombia;Medellin;Sistema de Bicicletas Públicas del Valle de Aburrá;Encicla;No especificado;6,2443;-75,5735
Enna;Italy;Enna;Comunicare S.r.l.;Bicincittà;No especificado;37,56342572664775;14,27973747253418
어울링 (Eoulling);Korea, Republic of;세종 (Sejong);Sejong City Transportation Corporation;No especificado;No especificado;36,4901;127,2829
esel.ac;Germany;Aachen;esel.ac Bikesharing e.V.;No especificado;No especificado;50,776346;6,083856
Fa.Mo.Se;Italy;Senigallia;Comuni di Senigallia e Mondolfo;Nextbike;No especificado;43,7603;13,1139
Figas;Portugal;Figueira da Foz;Município de Figueira da Foz;No especificado;No especificado;40,1548;-8,8613
Fölläri bikes;Finland;Turku;Turku Region Traffic Föli;No especificado;No especificado;60,4506;22,2666
Trinity Metro Bikes;United States;Fort Worth, TX;Trinity Metro;No especificado;No especificado;32,7516;-97,32888
FRee Bike sharing;Italy;Frosinone;Comunicare S.r.l.;Bicincittà;No especificado;41,645081;13,342123
Vilkku-fillarit;Finland;Kuopio;freebike;No especificado;No especificado;62,8923;27,6791
Mankeli;Finland;Lahti;freebike;No especificado;No especificado;60,9846;25,6567
Frelo;Germany;Freiburg;Nextbike GmbH;Nextbike;No especificado;47,9958;7,84453
TFI Bikes;Ireland;Galway;The National Transport Authority;TFI Bikes;No especificado;53,2783491544;-9,05069143207
Ganxeta;Spain;Reus;REUS MOBILITAT I SERVEIS, S.A. (RMS);No especificado;No especificado;41,1589;1,10623
Gbici;Spain;Getafe;Instituto Tecnológico de Castilla y León (ITCL);No especificado;No especificado;40,308;-3,7301
Gijón Bici;Spain;Gijón;Citybike España S.L.U.;Fifteen;No especificado;43,5396116;-5,6663604
Gimme Bike;Italy;Varese;Comunicare S.r.l.;Bicincittà;No especificado;45,8183902;8,823913
Gira;Portugal;Lisbon;EMEL;Gira;No especificado;38,724954;-9,149334
Girocleta;Spain;Girona;ICNITA S.L.;Emovity;No especificado;41,9794005;2,8214264
Biki;United States;Honolulu;Bikeshare Hawaii Island;No especificado;No especificado;21,3043;-157,856
GoodBike;Italy;Padova;Bicincitta Italia S.r.l.;Weelo;No especificado;45,4064349;11,8767611
Nextbike;Croatia;Drniš;Nextbike GmbH;Nextbike;No especificado;43,8425;16,1197
Grad Ivanić-Grad;Croatia;Ivanic Grad;Nextbike GmbH;Nextbike;No especificado;45,7062;16,3919
Grad Karlovac;Croatia;Karlovac;Nextbike GmbH;Nextbike;No especificado;45,4905;15,5503
Grad Šibenik;Croatia;Šibenik;Nextbike GmbH;Nextbike;No especificado;43,733;15,8982
Grad Sisak;Croatia;Sisak;Nextbike GmbH;Nextbike;No especificado;45,4875;16,3753
Grad Slavonski Brod;Croatia;Slavonski Brod;Nextbike GmbH;Nextbike;No especificado;45,1656;18,0183
Grad Vukovar (Croatia);Croatia;Vukovar;Nextbike GmbH;Nextbike;No especificado;45,3575;18,9895
Grad Zadar;Croatia;Zadar;Nextbike GmbH;Nextbike;No especificado;44,0058;15,2183
Grad Zaprešić (Croatia);Croatia;Zaprešić;Nextbike GmbH;Nextbike;No especificado;45,8622;15,8049
Graoulib;France;Metz;Metz Métropole;No especificado;No especificado;49,1167;6,1667
GREENbike;United States;Salt Lake City;BCycle, LLC;BCycle;No especificado;40,76745;-111,88736
Greenville BCycle;United States;Greenville, SC;BCycle, LLC;BCycle;No especificado;34,85261759999999;-82,3940104
StadtRad Greifswald;Germany;Greifswald (StadtRad);Nextbike GmbH;Nextbike;No especificado;54,0961;13,3787
HELLO CYCLING Aichi;Japan;愛知県 (Aichi);OpenStreet Corp.;No especificado;No especificado;35,1827;136,9096
HELLO CYCLING Chiba;Japan;千葉県 (Chiba);OpenStreet Corp.;No especificado;No especificado;35,6687;140,0201
HELLO CYCLING Ehime;Japan;愛媛県 (Ehime);OpenStreet Corp.;No especificado;No especificado;33,8445;132,76913
HELLO CYCLING Fukuoka;Japan;福岡県 (Fukuoka);OpenStreet Corp.;No especificado;No especificado;33,8823;130,8759
HELLO CYCLING Gifu;Japan;岐阜県 (Gifu);OpenStreet Corp.;No especificado;No especificado;35,3348;137,1236
HELLO CYCLING Hiroshima;Japan;広島県 (Hiroshima);OpenStreet Corp.;No especificado;No especificado;34,40061;133,19824
HELLO CYCLING Hyougo;Japan;兵庫県 (Hyougo);OpenStreet Corp.;No especificado;No especificado;34,7356;135,3697
HELLO CYCLING Ibaraki;Japan;茨城県 (Ibaraki);OpenStreet Corp.;No especificado;No especificado;36,0852;140,2008
HELLO CYCLING Iwate;Japan;岩手県 (Iwate);OpenStreet Corp.;No especificado;No especificado;39,6992;141,1343
HELLO CYCLING Kagawa;Japan;香川県 (Kagawa);OpenStreet Corp.;No especificado;No especificado;34,4898;134,26
HELLO CYCLING Kanagawa;Japan;神奈川県 (Kanagawa);OpenStreet Corp.;No especificado;No especificado;35,3629;139,4677
HELLO CYCLING Kumamoto;Japan;熊本県 (Kumamoto);OpenStreet Corp.;No especificado;No especificado;32,21207;130,75388
HELLO CYCLING Kyoto;Japan;京都府 (Kyoto);OpenStreet Corp.;No especificado;No especificado;35,01897;135,75747
HELLO CYCLING Nagano;Japan;長野県 (Nagano);OpenStreet Corp.;No especificado;No especificado;36,2395;137,9697
HELLO CYCLING Nara;Japan;奈良県 (Nara);OpenStreet Corp.;No especificado;No especificado;34,6819;135,8007
HELLO CYCLING Okinawa;Japan;沖縄県 (Okinawa);OpenStreet Corp.;No especificado;No especificado;26,2127;127,6828
HELLO CYCLING Osaka;Japan;大阪府 (Osaka);OpenStreet Corp.;No especificado;No especificado;34,6917;135,5091
HELLO CYCLING Saga;Japan;佐賀県 (Saga);OpenStreet Corp.;No especificado;No especificado;33,2622;130,2988
HELLO CYCLING Saitama;Japan;埼玉県 (Saitama);OpenStreet Corp.;No especificado;No especificado;35,86017;139,64347
HELLO CYCLING Shizuoka;Japan;静岡県 (Shizuoka);OpenStreet Corp.;No especificado;No especificado;34,9769;138,3855
HELLO CYCLING Tochigi;Japan;栃木県 (Tochigi);OpenStreet Corp.;No especificado;No especificado;36,75349;139,6115
HELLO CYCLING Tokyo;Japan;東京都 (Tokyo);OpenStreet Corp.;No especificado;No especificado;35,671;139,765
Hi-Bike Fort William;United Kingdom;Fort William;HITRANS;No especificado;Sí;56,8171;-5,1054
Hi-Bike Inverness;United Kingdom;Inverness;HITRANS;No especificado;Sí;57,4767;-4,2269
Hibike;United States;Kailua-Kona;Bikeshare Hawaii Island;No especificado;No especificado;19,6417;-155,9962
IDEcycle;France;Pau;Fifteen SAS;No especificado;No especificado;43,2957547;-0,3685668
Indego;United States;Philadelphia, PA;City of Philadelphia;BCycle;No especificado;39,95378;-75,16374
Indiana Pacers Bikeshare;United States;Indianapolis, IN;BCycle, LLC;BCycle;No especificado;39,76593;-86,16216
Smart Bikes by Infralobo;Portugal;Vale do Lobo;Infralobo;No especificado;No especificado;37,055;-8,0643
Integrabike;Brazil;Sorocaba;Prefeiture de Sorocaba;Mobhis;No especificado;-23,5015;-47,4526
Jackson County BCycle;United States;Jackson, MI;BCycle, LLC;BCycle;No especificado;42,2462;-84,4031
Nextbike;Croatia;Jastrebarsko;Nextbike GmbH;Nextbike;No especificado;45,6692;15,6541
JesinBici;Italy;Jesi;Comunicare S.r.l.;Bicincittà;No especificado;43,522601;13,244448
JOCO New York;United States;New York;BEAM BIKE CORP.;No especificado;Sí;40,7572;-73,9859
Kaakau;Finland;Kotka;Donkey Republic;No especificado;No especificado;60,4679;26,9452
Kaakau;Finland;Kouvola;Donkey Republic;No especificado;No especificado;60,8702;26,7031
Kaakau;Finland;Lappeenranta;Donkey Republic;No especificado;No especificado;61,0586;28,1862
Kaakau;Finland;Turku;Donkey Republic;No especificado;No especificado;60,4514;22,267
Karu'Vélo;France;Pointe-à-Pitre;Ecovelo;Ecovelo;Sí;16,2411;-61,5331
Kołobrzeski Rower Nextbike;Poland;Kołobrzeg;Nextbike GmbH;Nextbike;No especificado;54,1756;15,5702
Bysykkelen;Norway;Rogaland;Kolumbus;kolumbus;Sí;58,9689;5,731
Kotobike;Japan;京都 (Kyoto);QBEI.inc;No especificado;No especificado;35,0115;135,7518
KROTOWER;Poland;Krotoszyn;ROOVEE S.A.;No especificado;No especificado;51,695079658;17,441078438
Kuitun Bike;China;奎屯市 (Kuitun);No especificado;No especificado;No especificado;44,429;84,9009
KVB Rad;Germany;Köln;Nextbike GmbH;Nextbike;No especificado;50,9429;6,95649
LastenVelo Freiburg;Germany;Freiburg;LastenVelo Freiburg e.V.;No especificado;No especificado;47,9981;7,8439
Le Marcel;France;Troyes;Ecovelo;Ecovelo;Sí;48,2997;4,0792
LeVélo;France;Marseille;LeVélo AMP Métropole;No especificado;No especificado;43,296482;5,36978
LE vélo Star;France;Rennes;Keolis;Keolis;No especificado;48,114167;-1,680833
lecce;Italy;Lecce;Comunicare S.r.l.;Bicincittà;No especificado;40,35040350928062;18,177824020385742
Bicincittà;Italy;Lecco;Comunicare S.r.l.;Bicincittà;No especificado;45,8565698;9,397670399999999
Li bia velo;Belgium;Namur;JCDecaux;Cyclocity;No especificado;50,465328;4,867665
Libélo;France;Valence;PBSC Urban Solutions;No especificado;No especificado;44,922726;4,905634
Lime Portland;United States;Portland, OR;Lime;No especificado;No especificado;45,5152;-122,6784
Lime San Francisco;United States;San Francisco, CA;Lime;No especificado;No especificado;37,7749;-122,4194
Lime Seattle;United States;Seattle, WA;Lime;No especificado;No especificado;47,6062;-122,3321
TFI Bikes;Ireland;Limerick;The National Transport Authority;TFI Bikes;No especificado;52,668746;-8,627809
BikeLNK;United States;Lincoln, NE;BCycle, LLC;BCycle;No especificado;40,8087;-96,7075
LinkBike;Malaysia;Penang;FAST RENT BIKE (PG) Sdn. Bhd;No especificado;No especificado;5,4192;100,3281
LonganoinBici;Italy;Barcellona Pozzo di Gotto;Comunicare S.r.l.;Bicincittà;No especificado;38,149812517944284;15,212116241455078
Lovélo Libre Service;France;Rouen;Citybike Normandie;No especificado;No especificado;49,4432552;1,0999821
Lovesharing (Canary Islands);Spain;Fuerteventura;Nextbike GmbH;Nextbike;No especificado;28,3584;-14,064
Lovesharing (Canary Islands);Spain;Gran Canaria;Nextbike GmbH;Nextbike;No especificado;27,8154;-15,5182
Lovesharing (Canary Islands);Spain;Lanzarote;Nextbike GmbH;Nextbike;No especificado;29,0491;-13,5729
Lundahoj;Sweden;Lund;JCDecaux;Cyclocity;No especificado;55,7046601;13,1910073
BCycle;United States;Madison, WI;BCycle, LLC;BCycle;No especificado;43,07571;-89,38527
Malmö by bike;Sweden;Malmö;ClearChannel;SmartBike;No especificado;55,605;13,0038
Manerba in Bici;Italy;Manerba del Garda;Comunicare S.r.l.;Bicincittà;No especificado;45,561179;10,559406
Mar e Bici;Italy;Marciana Marina;Comunicare S.r.l.;Bicincittà;No especificado;42,805855;10,196514
Marseillan vélo libre-service;France;Marseillan;Ecovelo;Ecovelo;No especificado;43,3572;3,5283
MBajk;Slovenia;Maribor;JCDecaux;Cyclocity;No especificado;46,5547;15,6459
RGV BCycle;United States;McAllen, TX;BCycle, LLC;BCycle;No especificado;26,20438;-98,2261
Medina Careem BIKE;Saudi Arabia;Medina;Careem;No especificado;No especificado;24,4682;39,612
Meglio in Bici;Italy;Cernusco sul Naviglio - Pioltello - Carugate;Comunicare S.r.l.;Bicincittà;No especificado;45,520541;9,341984
Mein konrad;Germany;Konstanz;Nextbike GmbH;Nextbike;No especificado;47,6732;9,1663
meioB;Portugal;Médio Tejo;CIM Médio Tejo;No especificado;No especificado;39,6024;-8,4069
Explore Bike Share;United States;Memphis, TN;BCycle, LLC;BCycle;No especificado;35,1486;-90,045
Metro Bike Share;United States;Los Angeles, CA;Los Angeles County Metropolitan Transportation Authority (Metro);BCycle;No especificado;34,04855;-118,25905
Metrorower;Poland;Górnośląsko-Zagłębiowska Metropolia;Górnośląsko-Zagłębiowska Metropolia;Nextbike;No especificado;50,2664;19,0217
MIBICI;Mexico;Guadalajara;BKT bici publica S.A. de C.V.;No especificado;No especificado;20,6737883;-103,3704325
Mi bici tu bici;Argentina;Rosario;Mobilicidade Tecnologia LTD;No especificado;No especificado;-32,95;-60,65
MIBISI;Spain;Valencia, área metropolitana;Movilidad Urbana Sostenible SLU;No especificado;No especificado;39,4745;-0,4189
MICikel;Slovenia;Laško;CULT d.o.o.;No especificado;No especificado;46,1661;15,166
Mi Muovo in Bici;Italy;Ferrara;Comunicare S.r.l.;Bicincittà;No especificado;44,8350382;11,6240562
MOBIbike;Germany;Dresden;Nextbike GmbH;Nextbike;No especificado;51,0535;13,7387
Mobi;Canada;Vancouver;Vanncouver Bike Share Inc.;No especificado;No especificado;49,2827;-123,1207
MoGo;United States;Detroit, MI;PBSC Urban Solutions;No especificado;Sí;42,331548;-83,0465
MonaBike;Monaco;Monaco;PBSC Urban Solutions;No especificado;No especificado;43,733333;7,416667
Monopoli BIKE;Italy;Monopoli;Comunicare S.r.l.;Bicincittà;No especificado;40,94519109440738;17,311687995336918
Movemix Bike;Germany;Halle (Saale);Nextbike GmbH;Nextbike;No especificado;51,4938;11,9628
MugiBIKE;Spain;Vitoria-Gasteiz;UTE MoFIf Vitoria;No especificado;No especificado;42,8465;-2,6724
meinRad MVG Mainz;Germany;Mainz;Mainzer Verkehrsgesellschaft mbH;Nextbike;No especificado;50,0153;8,252
MV-Rad;Germany;MV-Rad;Nextbike GmbH;Nextbike;No especificado;53,6707;12,4255
Nashville BCycle;United States;Nashville, TN;BCycle, LLC;BCycle;No especificado;36,15768;-86,773
nbici;Spain;Pamplona;Bicincitta Italia S.r.l.;Weelo;No especificado;42,8116631;-1,6482653
NemoVélo;France;Nîmes;Ecovelo;Ecovelo;Sí;43,83819;4,35997
Neuchâtelroule;Switzerland;Neuchâtel;Donkey Republic;No especificado;No especificado;46,9916;6,9269
Arriva Bike;Slovakia;Senec;Nextbike GmbH;Nextbike;No especificado;48,3091;18,0862
Nextbike;Czechia;Benešov;Nextbike GmbH;Nextbike;No especificado;49,7827;14,6867
nextbike Bergamo;Italy;Bergamo;Nextbike GmbH;Nextbike;No especificado;45,6986;9,67567
Nextbike;Germany;Berlin;Nextbike GmbH;Nextbike;No especificado;52,5087;13,3563
nextbike Berounsko;Czechia;Berounsko;Nextbike GmbH;Nextbike;No especificado;49,9616;14,064
meinSiggi;Germany;Bielefeld;Nextbike GmbH;Nextbike;No especificado;52,0257;8,53286
Bike City;Romania;Slobozia;Nextbike GmbH;Nextbike;No especificado;44,5653;27,3629
Bike Sharing Alimos;Greece;Alimos;Nextbike GmbH;Nextbike;No especificado;37,917;23,7188
Bike Sharing Elliniko – Argyroupoli;Greece;Elliniko;Nextbike GmbH;Nextbike;No especificado;37,8925;23,7479
Bike Sharing Glyfada;Greece;Glyfada;Nextbike GmbH;Nextbike;No especificado;37,8762;23,7566
Bike Sharing Palaio Faliro;Greece;Palaio Faliro;Nextbike GmbH;Nextbike;No especificado;37,9281;23,7014
BikeCity;Romania;Campia Turzii;Nextbike GmbH;Nextbike;No especificado;46,5459;23,8832
Bikesharing Amprion;Germany;Amprion;Nextbike GmbH;Nextbike;No especificado;51,0055;6,7511
Welo;Germany;Bonn;Nextbike GmbH;Nextbike;No especificado;50,7367;7,09541
nextbike Brno;Czechia;Brno;Nextbike GmbH;Nextbike;No especificado;49,1911;16,6148
Campus Berlin-Buch;Germany;Berlin-Buch;Nextbike GmbH;Nextbike;No especificado;52,6325;13,5015
Nextbike;Czechia;Česká Třebová;Nextbike GmbH;Nextbike;No especificado;49,9021;16,4458
nextbike Český Brod;Czechia;Český Brod;Nextbike GmbH;Nextbike;No especificado;50,0734;14,8599
Nextbike;Croatia;Croatia;Nextbike GmbH;Nextbike;No especificado;45,213;16,1499
Nextbike;Croatia;Stankovci;Nextbike GmbH;Nextbike;No especificado;43,9071;15,695
Nextbike;Germany;Düsseldorf;Nextbike GmbH;Nextbike;No especificado;51,2243;6,77204
nextbike Dvůr Králové;Czechia;Dvůr Králové;Nextbike GmbH;Nextbike;No especificado;50,4278;15,8162
Nextbike;Switzerland;Ennetmoos;Nextbike GmbH;Nextbike;No especificado;46,9573;8,3377
euregiobike;Germany;Aachen;Nextbike GmbH;Nextbike;No especificado;50,7752;6,08477
EVENTbike;Austria;Neusiedler See;Nextbike GmbH;Nextbike;No especificado;47,8583;16,7706
flux Bikesharing;Germany;Friedrichsdorf - Neu-Anspach - Usingen;Nextbike GmbH;Nextbike;No especificado;50,3033;8,56041
Nextbike;Czechia;Frýdek-Místek;Nextbike GmbH;Nextbike;No especificado;49,6832;18,3457
Nextbike;Germany;Gießen;Nextbike GmbH;Nextbike;No especificado;50,5943;8,68097
Grad Križevci;Croatia;Križevci;Nextbike GmbH;Nextbike;No especificado;46,0225;16,5482
Nextbike;Croatia;Grad Split;Nextbike GmbH;Nextbike;No especificado;43,5162;16,4637
Grad Velika Gorica (Croatia);Croatia;Velika Gorica;Nextbike GmbH;Nextbike;No especificado;45,7119;16,0689
GRM Grodzisk Poland;Poland;Grodzisk Mazowiecki;Nextbike GmbH;Nextbike;No especificado;52,113;20,6265
Nextbike;Germany;Gütersloh;Nextbike GmbH;Nextbike;No especificado;51,9049;8,39275
Nextbike;Germany;Kreis Soest;Nextbike GmbH;Nextbike;No especificado;51,5632;8,11451
Nextbike;Switzerland;Hergiswil;Nextbike GmbH;Nextbike;No especificado;46,9905;8,30829
nextbike Hodonín;Czechia;Hodonín;Nextbike GmbH;Nextbike;No especificado;48,8489;17,1327
Nextbike;Czechia;Hořice;Nextbike GmbH;Nextbike;No especificado;50,3704;15,6327
Nextbike;Switzerland;Horw;Nextbike GmbH;Nextbike;No especificado;47,0188;8,30828
nextbike Hradec Králové;Czechia;Hradec Králové;Nextbike GmbH;Nextbike;No especificado;50,2079;15,8334
nextbike Hranice;Czechia;Hranice;Nextbike GmbH;Nextbike;No especificado;49,5566;17,7332
Nextbike;Czechia;Jablonec nad Nisou;Nextbike GmbH;Nextbike;No especificado;50,7225;15,1681
JasKółka;Poland;Jastrzębie-Zdrój;Nextbike GmbH;Nextbike;No especificado;49,9537;18,6005
nextbike Jičín;Czechia;Jičín;Nextbike GmbH;Nextbike;No especificado;50,4367;15,3743
KVV.nextbike;Germany;Karlsruhe;Nextbike GmbH;Nextbike;No especificado;49,0102;8,41827
Nextbike;Germany;Kassel;Nextbike GmbH;Nextbike;No especificado;51,3127;9,47975
nextbike Kladno;Czechia;Kladno;Nextbike GmbH;Nextbike;No especificado;50,1435;14,1082
Nextbike;Austria;Klagenfurt;Nextbike GmbH;Nextbike;No especificado;46,6335;14,3085
Nextbike;Czechia;Klášterec nad Ohří;Nextbike GmbH;Nextbike;No especificado;50,3861;13,1771
Nextbike;Czechia;Kolín;Nextbike GmbH;Nextbike;No especificado;50,0269;15,21
Koniński Rower Miejski Poland;Poland;Konin;Nextbike GmbH;Nextbike;No especificado;52,2328;18,2538
Koszaliński Rower Miejski Poland;Poland;Koszalin;Nextbike GmbH;Nextbike;No especificado;54,1866;16,1877
nextbike Krnov;Czechia;Krnov;Nextbike GmbH;Nextbike;No especificado;50,09;17,7027
nextbike Kyjov;Czechia;Kyjov;Nextbike GmbH;Nextbike;No especificado;49,0092;17,1209
Nextbike;Germany;Schkeuditz;Nextbike GmbH;Nextbike;No especificado;51,3941;12,2456
Nextbike;Germany;Leipzig;Nextbike GmbH;Nextbike;No especificado;51,3415;12,3625
Nextbike;Czechia;Liberec;Nextbike GmbH;Nextbike;No especificado;50,7646;15,0531
Nextbike;Cyprus;Limassol;Nextbike GmbH;Nextbike;No especificado;34,6823;33,0464
nextbike Lipník nad Bečvou;Czechia;Lipník nad Bečvou;Nextbike GmbH;Nextbike;No especificado;49,527;17,5874
nextbike Litovel;Czechia;Litovel;Nextbike GmbH;Nextbike;No especificado;49,6999;17,0788
ŁoKeR - Łomża;Poland;Łomża;Nextbike GmbH;Nextbike;No especificado;53,1733;22,0726
Nextbike;Czechia;Lovosice;Nextbike GmbH;Nextbike;No especificado;50,5147;14,0542
Nextbike;Switzerland;Luzern;Nextbike GmbH;Nextbike;No especificado;47,0472;8,30446
Nextbike;Germany;Marburg;Nextbike GmbH;Nextbike;No especificado;50,8019;8,76444
Nextbike;Czechia;Mladá Boleslav;Nextbike GmbH;Nextbike;No especificado;50,4278;14,8999
Mławskie Rowery Miejskie;Poland;Mława;Nextbike GmbH;Nextbike;No especificado;53,1188;20,3831
moin mobil Achim;Germany;Achim - Ottersberg;Nextbike GmbH;Nextbike;No especificado;53,0785;8,69153
MOOINZ;Switzerland;Chur;Nextbike GmbH;Nextbike;No especificado;46,8542;9,52676
Nextbike;Czechia;Moravská Třebová;Nextbike GmbH;Nextbike;No especificado;49,7601;16,6573
MyRadl ;Germany;München;Nextbike GmbH;Nextbike;No especificado;48,139;11,5746
nextbike Neratovice;Czechia;Neratovice;Nextbike GmbH;Nextbike;No especificado;50,2589;14,525
Nextbike;Cyprus;Nicosia;Nextbike GmbH;Nextbike;No especificado;35,1728;33,3653
Nextbike;Austria;Niederösterreich;Nextbike GmbH;Nextbike;No especificado;48,2515;16,0993
Nextbike;Germany;Norderstedt;Nextbike GmbH;Nextbike;No especificado;53,6969;10,002
Nextbike;Switzerland;Oberdorf;Nextbike GmbH;Nextbike;No especificado;46,9563;8,3884
nextbike OlbramoviceVotice;Czechia;Olbramovice/Votice;Nextbike GmbH;Nextbike;No especificado;49,6525;14,6355
nextbike Olomouc;Czechia;Olomouc;Nextbike GmbH;Nextbike;No especificado;49,5929;17,2459
nextbike Opava;Czechia;Opava;Nextbike GmbH;Nextbike;No especificado;49,9447;17,8907
Nextbike Ortenaukreis;Germany;Ortenaukreis;nextbike GmbH;Nextbike;No especificado;48,4721;7,94243
nextbike Ostrava;Czechia;Ostrava;Nextbike GmbH;Nextbike;No especificado;49,8344;18,2823
nextbike Otrokovice;Czechia;Otrokovice;Nextbike GmbH;Nextbike;No especificado;49,1997;17,5356
Otwocki Rower Miejski;Poland;Otwock;Nextbike GmbH;Nextbike;No especificado;52,1042;21,2538
Nextbike;Czechia;Pelhřimov;Nextbike GmbH;Nextbike;No especificado;49,4295;15,2239
Piaseczyński Rower Miejski;Poland;Piaseczno;Nextbike GmbH;Nextbike;No especificado;52,0733;21,0269
nextbike Písek;Czechia;Písek;Nextbike GmbH;Nextbike;No especificado;49,3051;14,1463
Porec bike share;Croatia;Poreč;Nextbike GmbH;Nextbike;No especificado;45,2276;13,5972
Nextbike;Germany;Potsdam;Nextbike GmbH;Nextbike;No especificado;52,3997;13,0676
nextbike Praha;Czechia;Praha;Nextbike GmbH;Nextbike;No especificado;50,0592;14,5761
nextbike Prerov;Czechia;Prerov;Nextbike GmbH;Nextbike;No especificado;49,4574;17,4408
Prishtina bike;XK;Prishtina;Nextbike GmbH;Nextbike;No especificado;42,6729;21,1907
Pruszkowski Rower Miejski;Poland;Pruszków;Nextbike GmbH;Nextbike;No especificado;52,1617;20,8071
