name;country;city;company;system;ebikes;latitude;longitude
Bianzone in Bici;Italy;Bianzone;Comunicare S.r.l.;Bicincittà;No especificado;46,188197;10,109354
BiBa;Spain;Badajoz;Instituto Tecnológico de Castilla y León (ITCL);bicicard;No especificado;38,878;-6,9701
bibo;Spain;Boadilla del Monte;Nextbike GmbH;Nextbike;No especificado;40,4125;-3,8909
Bici Bolzano;Italy;Bolzano;Ecospazio Logiss S.r.l.;No especificado;No especificado;46,49;11,3401
BICI&CO;Italy;Como;Comunicare S.r.l.;Bicincittà;No especificado;45,8080597;9,0851765
BiciFerrolTerra;Spain;Ferrol - Narón;2K SYSTEMS, S.L.;No especificado;No especificado;43,4896;-8,2193
Bici in Busto;Italy;Busto Arsizio;Comunicare S.r.l.;Bicincittà;No especificado;45,610555;8,852062
Bici Perugia;Italy;Perugia;Comunicare S.r.l.;Bicincittà;No especificado;43,1107168;12,3908279
BiciAlcázar;Spain;Alcázar de San Juan;Instituto Tecnológico de Castilla y León (ITCL);bicicard;No especificado;39,3901;-3,2101
BiciArousa;Spain;A Illa de Arousa;Instituto Tecnológico de Castilla y León (ITCL);bicicard;No especificado;42,5521;-8,8666
biciArteixo;Spain;Arteixo;Servizos Urbanos Municipais de Arteixo, S. A.;Nextbike;No especificado;43,3053;-8,5069
BiciBur;Spain;Burgos;Instituto Tecnológico de Castilla y León (ITCL);No especificado;No especificado;42,34392;-3,69697
Bicicas;Spain;Castelló de la Plana;Maquiver S.L.U.;No especificado;No especificado;39,9856;-0,0389
BiciCastro;Spain;Castro-Urdiales;Instituto Tecnológico de Castilla y León (ITCL);bicicard;No especificado;43,3849;-3,2181
Bicicletar;Brazil;Fortaleza;Mobilicidade Tecnologia LTD;Samba;No especificado;-3,7321944;-38,510347
Bicicoruña;Spain;A Coruña;PBSC Urban Solutions;No especificado;No especificado;43,3623;-8,4115
Bici Pública Cuenca;Ecuador;Cuenca;Mobilicidade Tecnologia LTD;Samba;No especificado;-2,897;-79,0038
Bicielx;Spain;Elx;Promociones e Iniciativas Municipales de Elche, S.A.;No especificado;No especificado;38,2665;-0,7
Bicikelj;Slovenia;Ljubljana;JCDecaux;Cyclocity;No especificado;46,05645089999999;14,5080702
BiciLog;Spain;Logroño;Nextbike GmbH;Nextbike;No especificado;42,4658;-2,4402
BiciMAD;Spain;Madrid;Empresa Municipal de Transportes de Madrid, S.A.;bicimad;No especificado;40,4168;-3,7038
bicimia;Italy;Brescia;Comunicare S.r.l.;Bicincittà;No especificado;45,5378;10,2173
BiciMislata;Spain;Mislata;Movilidad Urbana Sostenible, S.L;Nextbike;No especificado;39,4763;-0,4182
Bicincittà;Italy;Acquarica del Capo;Comunicare S.r.l.;Bicincittà;No especificado;39,9144573;18,2450324
Bicincittà;Italy;Acquaviva delle fonti;Comunicare S.r.l.;Bicincittà;No especificado;40,9303721;16,8414374
Bicincittà;Italy;Alghero;Comunicare S.r.l.;Bicincittà;No especificado;40,5579517;8,319294900000001
Bicincittà;Italy;Assemini;Comunicare S.r.l.;Bicincittà;No especificado;39,28956306007679;9,006601555294765
Bicincittà;Italy;Borgarello;Comunicare S.r.l.;Bicincittà;No especificado;45,23963753440171;9,136150475640875
Bicincittà;Italy;Brancaleone;Comunicare S.r.l.;Bicincittà;No especificado;37,9679084;16,0757749
Bicincittà;Italy;Carrara;Comunicare S.r.l.;Bicincittà;No especificado;44,07731805550891;10,097172450401331
Bicincittà;Italy;Casaletto Spartano;Comunicare S.r.l.;Bicincittà;No especificado;40,1532801;15,6211479
Bicincittà;Italy;Castel Guelfo di Bologna;Comunicare S.r.l.;Bicincittà;No especificado;44,4328527;11,6750857
Mi Muovo in bici;Italy;Cesena;Comunicare S.r.l.;Bicincittà;No especificado;44,1396438;12,2464292
Bicincittà;Italy;Cisterna di Latina;Comunicare S.r.l.;Bicincittà;No especificado;41,5754029;12,8284772
Costa Blu;Italy;Montesilvano;Comunicare S.r.l.;Bicincittà;No especificado;42,5009;14,1282
Bicincittà;Italy;Elmas;Comunicare S.r.l.;Bicincittà;No especificado;39,2634329;9,0515805
Bicincittà;Italy;Parco Nazionale del Circeo;Comunicare S.r.l.;Bicincittà;No especificado;41,3151015;13,0330782
Bicincittà;Italy;Ente Parco Montemarcello Magra;Comunicare S.r.l.;Bicincittà;No especificado;44,1143897;9,9635986
Bicincittà;Italy;Parco naturale Migliarino San Rossore Massaciuccoli;Comunicare S.r.l.;Bicincittà;No especificado;43,723826;10,339509
Mi Muovo in Bici;Italy;Forlì;Comunicare S.r.l.;Bicincittà;No especificado;44,2227398;12,0407312
Bicincittà;Italy;Gaeta;Comunicare S.r.l.;Bicincittà;No especificado;41,209620965538036;13,584335125656139
Bicincittà;Italy;Gallipoli;Comunicare S.r.l.;Bicincittà;No especificado;40,0558554;17,9925085
Mi Muovo in bici;Italy;Imola;Comunicare S.r.l.;Bicincittà;No especificado;44,3559128;11,7161197
Bicincittà;Italy;Lavis;Comunicare S.r.l.;Bicincittà;No especificado;46,1408423;11,1124935
Bicincittà;Italy;Livorno;Comunicare S.r.l.;Bicincittà;No especificado;43,548473;10,3105674
Bicincittà;Italy;Mantova;Comunicare S.r.l.;Bicincittà;No especificado;45,15866370764634;10,783718973016335
Bici in Massa;Italy;Massa;Comunicare S.r.l.;Bicincittà;No especificado;44,0146;10,1017
Bicincittà;Italy;Mezzocorona;Comunicare S.r.l.;Bicincittà;No especificado;46,2339047;11,1277461
Bicincittà;Italy;Mezzolombardo;Comunicare S.r.l.;Bicincittà;No especificado;46,21400260000001;11,0967867
Mi Muovo in bici;Italy;Modena;Comunicare S.r.l.;Bicincittà;No especificado;44,647128;10,9252269
Bicincittà;Italy;Monserrato;Comunicare S.r.l.;Bicincittà;No especificado;39,2560191;9,1453579
Bicincittà;Italy;Montecatini Terme;Comunicare S.r.l.;Bicincittà;No especificado;43,88362791665083;10,764385656591799
Sipedala;Italy;Monteriggioni;Comunicare S.r.l.;Bicincittà;No especificado;43,3896;11,2236
Bicincittà;Italy;Monza;Comunicare S.r.l.;Bicincittà;No especificado;45,5845001;9,2744485
Bicincittà;Italy;Morigerati;Comunicare S.r.l.;Bicincittà;No especificado;40,1422031;15,5298525
Bicincittà;Italy;Parco dei Colli di Bergamo;Comunicare S.r.l.;Bicincittà;No especificado;45,72295637032245;9,649230073016383
Bicincittà;Italy;Parco Naturale Molentargius - Saline;Comunicare S.r.l.;Bicincittà;No especificado;39,2052545;9,146761099999999
PisTA!;Italy;Taranto;Comunicare S.r.l.;Bicincittà;No especificado;40,4351;17,2096
Bicincittà;Italy;Pizzighettone e Formigara;Comunicare S.r.l.;Bicincittà;No especificado;45,186748819167434;9,778087948479424
Bicincittà;Italy;Porto Torres;Comunicare S.r.l.;Bicincittà;No especificado;40,8333682;8,402292899999999
Bicincittà;Italy;Rivarolo Canavese;Comunicare S.r.l.;Bicincittà;No especificado;45,306633;7,723242
Bicincittà;Italy;San Donato Milanese;Comunicare S.r.l.;Bicincittà;No especificado;45,4092402;9,2684867
Mi Muovo in Bici;Italy;San Giovanni in Persiceto;Comunicare S.r.l.;Bicincittà;No especificado;44,6405433;11,1893053
Mi Muovo in Bici;Italy;San Lazzaro di Savena;Comunicare S.r.l.;Bicincittà;No especificado;44,4702725;11,409399
